Strain_1,Strain_2,Replicate,N10,N20,r1,r2,a11,a12,a21,a22
F.sanfranciscensis,K.humilis,3,824.67991910753,750.276119645089,0.164151500773014,0.288956095747224,-3.99563639461003e-07,-4.49571706812869e-08,-4.24652349286425e-07,-6.03884815094707e-08
F.sanfranciscensis,K.servazzii,1,10.9069801914437,73.2031444209026,0.321129439354585,0.381670890777815,-3.44130609718662e-06,-6.30790769397314e-08,-4.03926291619407e-08,-9.29800890044353e-08
F.sanfranciscensis,K.servazzii,2,27.6853702635222,81.4498731825688,0.324444723054361,0.442437078011339,-1.03716922754049e-05,-1.26752526112636e-08,-4.78074226647492e-07,-9.6146131182466e-08
F.sanfranciscensis,K.servazzii,3,703.513450524719,3119.81187868864,0.208480001542391,0.385912192751206,-2.82845116578036e-06,-3.7282476919651e-08,-6.42530518181527e-06,-5.15957399505047e-08
L.brevis,L.plantarum,1,687.673078845178,54008.1382010574,0.344825508323672,0.143151960448616,-5.01351155390043e-08,-3.39776698994919e-13,-6.55965592863517e-09,-5.12347135342563e-09
L.brevis,L.plantarum,2,1290.19408565328,1807.00136699161,0.277864302812256,0.233951562307299,-2.83602683854826e-08,-6.47842207737983e-09,-1.06796402316868e-08,-8.74714002697249e-09
L.brevis,L.plantarum,3,0.0561072541784282,302.377211763514,0.744645226765422,0.305613439925626,-1.26380593373515e-07,-1.7521271200147e-10,-4.57389111654109e-09,-2.44835475541598e-08
L.brevis,A.malorum,1,355.705153862116,1.25679212188409,0.418245452659846,0.451291630666391,-4.89227351027107e-08,-2.56438447571727e-08,-3.54825525535594e-09,-1.62817425029751e-07
L.brevis,A.malorum,2,173.41397934285,11.164854504758,0.426971910138116,0.331415399501145,-5.83595124635102e-08,-2.48682834298538e-09,-6.34918345044304e-09,-1.58381071566618e-07
L.brevis,A.malorum,3,335423.98839306,0.0415920705997551,0.0791251835758492,0.5633022213354,-1.9400530212734e-09,-1.35915550163462e-08,-2.37635195418355e-08,-2.5139834216425e-07
L.brevis,C.paralimentarius,1,11.5821882461996,678.700255515638,0.47468755543159,0.320501631956152,-5.92964547226514e-08,-1.8891431807212e-08,-4.0282889671395e-08,-8.92016612059485e-09
L.brevis,C.paralimentarius,2,2452.1270632281,5313.28503398202,0.323367263143866,0.213186226277715,-6.22163472180792e-08,-2.34837079943878e-09,-1.12662855729726e-08,-1.18150866675279e-08
L.brevis,C.paralimentarius,3,617.378137747794,621.235598640496,0.43983264622401,0.311198955972865,-7.44260570041308e-08,-9.92853371879723e-09,-1.88126773770476e-08,-1.8837810274041e-08
L.brevis,S.cerevisiae,1,6908.29197485685,6291.4725430635,0.295882830965551,0.245396577152632,-4.46522421673515e-08,-5.29413392733042e-09,-3.25326887643591e-08,-4.3436578159995e-09
L.brevis,S.cerevisiae,2,1.70688952042839,158359.260514736,0.678807750854781,0.128265064717951,-7.86284615680119e-08,-3.93480306068094e-09,-5.4568458332132e-09,-1.57814280618453e-08
L.brevis,S.cerevisiae,3,2.28035838345666,3520.19877024079,0.687288972050394,0.320643294931387,-1.22966849747221e-07,-7.14358902127772e-09,-4.1229631462139e-08,-2.86151262832939e-08
L.brevis,W.anomalus,1,2165.16687529515,18055.6515878875,0.299410561395501,0.266517159180751,-1.00334343694157e-08,-1.11803924294538e-08,-1.9344366367107e-10,-1.39902495172435e-08
L.brevis,W.anomalus,2,1293.13196498627,4732.00013555984,0.305364569575161,0.306955195062379,-1.2951895858883e-08,-9.33770723481483e-09,-2.0335708346634e-09,-1.52925760015833e-08
L.brevis,W.anomalus,3,3847.06335648317,2575.76623865127,0.295311960160828,0.272923803228084,-3.57781591571383e-08,-9.77250424496405e-10,-2.29985206856291e-08,-3.32263969893066e-09
L.brevis,K.humilis,1,20703.5771881625,1817.57139376277,0.16063247299234,0.271560651081273,-1.53872334209984e-08,-1.23287896601222e-08,-4.90692979877758e-09,-6.12635174733327e-08
L.brevis,K.humilis,2,4904.17884013129,34455.8618492922,0.224291610535813,0.175197908999274,-5.36752271435633e-09,-3.594993257559e-08,-2.19661057700994e-09,-3.9167301644578e-08
