F.sanfranciscensis,L.brevis,L.plantarum,C.paralimentarius,A.malorum,S.cerevisiae,W.anomalus,K.humilis,K.servazzii
4,5,0,0,1,3,1,2,3
2,1,0,3,2,5,5,3,3
4,5,0,0,1,3,1,2,3
5,0,0,0,1,1,0,1,2
0,1,0,3,2,5,5,5,2
2,2,0,0,2,5,5,0,3
0,1,0,3,0,4,5,0,2
3,0,0,0,2,4,5,0,4
0,0,0,3,2,5,3,0,2
5,0,0,3,0,1,5,2,2
